"ensembl_gene_id","external_gene_name","exon_chrom_start","exon_chrom_end","rank","ensembl_transcript_id"
"ENSG00000292333","P2RY8",1536921,1537185,1,"ENST00000711216"
"ENSG00000292333","P2RY8",1462581,1466582,2,"ENST00000711216"
"ENSG00000292333","P2RY8",1494093,1494353,1,"ENST00000711215"
"ENSG00000292333","P2RY8",1466437,1466582,2,"ENST00000711215"
"ENSG00000292363","CRLF2",1212556,1212649,1,"ENST00000711254"
"ENSG00000292363","CRLF2",1208806,1208908,2,"ENST00000711254"
"ENSG00000292363","CRLF2",1206433,1206599,3,"ENST00000711254"
"ENSG00000292363","CRLF2",1202402,1202535,4,"ENST00000711254"
"ENSG00000292363","CRLF2",1198562,1198724,5,"ENST00000711254"
"ENSG00000292363","CRLF2",1196780,1196900,6,"ENST00000711254"
"ENSG00000292363","CRLF2",1193218,1193302,7,"ENST00000711254"
"ENSG00000292363","CRLF2",1190490,1191160,8,"ENST00000711254"
"ENSG00000292363","CRLF2",1206433,1206599,3,"ENST00000711255"
"ENSG00000292363","CRLF2",1202402,1202535,4,"ENST00000711255"
"ENSG00000292363","CRLF2",1212556,1212723,1,"ENST00000711255"
"ENSG00000292363","CRLF2",1208806,1208905,2,"ENST00000711255"
"ENSG00000292363","CRLF2",1198801,1199145,5,"ENST00000711255"
"ENSG00000292363","CRLF2",1196780,1196900,6,"ENST00000711255"
"ENSG00000292363","CRLF2",1193218,1193302,7,"ENST00000711255"
"ENSG00000292363","CRLF2",1190492,1191160,8,"ENST00000711255"
"ENSG00000292363","CRLF2",1202402,1202535,3,"ENST00000711256"
"ENSG00000292363","CRLF2",1198562,1198724,4,"ENST00000711256"
"ENSG00000292363","CRLF2",1196780,1196900,5,"ENST00000711256"
"ENSG00000292363","CRLF2",1193218,1193302,6,"ENST00000711256"
"ENSG00000292363","CRLF2",1212556,1212634,1,"ENST00000711256"
"ENSG00000292363","CRLF2",1206433,1206599,2,"ENST00000711256"
"ENSG00000292363","CRLF2",1190897,1191160,7,"ENST00000711256"
"ENSG00000292357","CSF2RA",1268793,1268879,1,"ENST00000850688"
"ENSG00000292357","CSF2RA",1274755,1274818,2,"ENST00000850688"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000850688"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000850688"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000850688"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000850688"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000850688"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000850688"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000850688"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000850688"
"ENSG00000292357","CSF2RA",1303923,1304019,11,"ENST00000850688"
"ENSG00000292357","CSF2RA",1305446,1305527,12,"ENST00000850688"
"ENSG00000292357","CSF2RA",1325028,1325373,13,"ENST00000850688"
"ENSG00000292357","CSF2RA",1282678,1282779,3,"ENST00000711138"
"ENSG00000292357","CSF2RA",1285778,1285920,4,"ENST00000711138"
"ENSG00000292357","CSF2RA",1288519,1288642,5,"ENST00000711138"
"ENSG00000292357","CSF2RA",1288759,1288888,6,"ENST00000711138"
"ENSG00000292357","CSF2RA",1290337,1290509,7,"ENST00000711138"
"ENSG00000292357","CSF2RA",1294328,1294461,8,"ENST00000711138"
"ENSG00000292357","CSF2RA",1295427,1295456,9,"ENST00000711138"
"ENSG00000292357","CSF2RA",1300491,1300626,10,"ENST00000711138"
"ENSG00000292357","CSF2RA",1303923,1304019,12,"ENST00000711138"
"ENSG00000292357","CSF2RA",1305446,1305527,13,"ENST00000711138"
